Truck,Maintenance Expense,Miles Driven,Age of Truck
1,$908.56,"10,500",10
2,$751.12,"9,700",7
3,$793.55,"9,200",8
4,$619.61,"8,300",9
5,$380.11,"6,500",5
6,$368.72,"4,500",2
7,$235.32,"3,500",2
8,$174.93,"2,200",3
9,$256.30,"1,800",2
10,$799.58,9800,7
11,$436.04,6600,5
12,$304.25,3600,1
13,$226.81,2500,3
14,$179.68,3100,3
15,$726.65,8400,10
16,$810.53,9700,9
17,$142.53,1800,4
18,$915.53,10000,11
19,$813.45,9800,8
20,$803.78,9900,7
21,$227.32,1100,1
22,$231.46,2600,1
23,$839.21,10300,6
